instance,n,ours,kapoce,kapoce_valid,kapoce_time,ours_time
pace-heur/heur083.gr,871,12727,12727,True,531.2,600.2
pace-heur/heur084.gr,871,26568,26568,True,590.1,600.2
pace-heur/heur085.gr,871,31469,31469,True,590.2,600.8
pace-heur/heur086.gr,885,2300,2300,True,144.0,600.4
pace-heur/heur087.gr,885,3049,3049,True,173.4,600.7
pace-heur/heur088.gr,885,2235,2235,True,218.9,600.1
pace-heur/heur089.gr,885,1915,1915,True,266.5,600.2
pace-heur/heur090.gr,926,11987,11987,True,387.6,600.8
pace-heur/heur091.gr,926,22706,22706,True,588.8,600.3
pace-heur/heur092.gr,926,30978,30978,True,590.1,600.3
pace-heur/heur093.gr,926,35181,35181,True,590.1,600.2
pace-heur/heur094.gr,1005,12732,12732,True,401.3,600.3
pace-heur/heur095.gr,1051,3938,3938,True,194.7,600.1
pace-heur/heur096.gr,1051,3377,3377,True,271.9,600.6
pace-heur/heur097.gr,1051,4034,4034,True,367.6,600.1
pace-heur/heur098.gr,1190,11072,11072,True,316.0,600.4
pace-heur/heur099.gr,1190,15468,15468,True,519.3,600.0
pace-heur/heur100.gr,1190,17013,17013,True,590.1,602.0
pace-heur/heur101.gr,1190,23295,23295,True,590.1,601.1
pace-heur/heur102.gr,1292,9472,9472,True,314.0,600.7
pace-heur/heur103.gr,1292,11665,11665,True,468.8,601.0
pace-heur/heur104.gr,1292,17315,17315,True,590.1,600.2
pace-heur/heur105.gr,1292,26931,26931,True,590.1,600.5
pace-heur/heur106.gr,1292,52858,52858,True,590.1,600.9
pace-heur/heur107.gr,1345,5154,5154,True,297.2,600.0
pace-heur/heur108.gr,1345,9182,9182,True,433.6,600.3
pace-heur/heur109.gr,1345,21187,21187,True,590.1,600.8
pace-heur/heur110.gr,1345,34263,34263,True,590.2,600.8
pace-heur/heur111.gr,1345,68490,68490,True,590.2,600.5
pace-heur/heur112.gr,1386,7623,7623,True,337.1,600.1
pace-heur/heur113.gr,1386,9350,9350,True,430.3,600.9
pace-heur/heur114.gr,1386,13864,13864,True,590.1,601.2
pace-heur/heur115.gr,1386,25536,25536,True,590.1,600.5
pace-heur/heur116.gr,1386,86690,86690,True,590.2,600.3
pace-heur/heur117.gr,2054,10051,10051,True,487.5,602.1
pace-heur/heur118.gr,2054,11538,11538,True,590.1,601.4
pace-heur/heur119.gr,2054,17431,17431,True,590.1,600.4
pace-heur/heur120.gr,2054,26013,26013,True,590.1,600.1
pace-heur/heur121.gr,2054,66386,66386,True,590.2,600.5
pace-heur/heur122.gr,2362,9076,9076,True,574.1,601.7
pace-heur/heur123.gr,2362,13296,13296,True,590.1,601.4
pace-heur/heur124.gr,2362,19889,19889,True,590.1,600.4
pace-heur/heur125.gr,2362,32353,32353,True,590.1,600.4
pace-heur/heur126.gr,2362,58919,58919,True,590.1,600.4
